date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:48	2799/2799	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Jun%202026%2019:04:51%20GMT	https://notaireBIENVENU.be/robots.txt		(from )
19:05:11	21655/21655	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2019:05:12%20GMT	https://notaireBIENVENU.be/	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/index.html	(from )
19:05:12	59498/59498	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Jun%202026%2012:42:15%20GMT	https://notaireBIENVENU.be/css/style.css?v=1.0.10	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/css/style008c.css	(from https://notaireBIENVENU.be/)
19:05:12	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%225ad9e9ac-d17%22	https://owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.carousel.min.css	C:/Mes%20Sites%20Web/notaire/owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.carousel.min.css	(from https://notaireBIENVENU.be/)
19:05:12	1013/1013	---M-Z	200	added ('OK')	text/css	etag:W/%225ad9e9ac-3f5%22	https://owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.theme.default.min.css	C:/Mes%20Sites%20Web/notaire/owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.theme.default.min.css	(from https://notaireBIENVENU.be/)
19:05:13	3766/3766	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Feb%202024%2013:22:37%20GMT	https://notaireBIENVENU.be/css/custom.css?v1.0.18	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/css/customf841.css	(from https://notaireBIENVENU.be/)
19:05:13	32207/32207	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2012:28:27%20GMT	https://consent.rico20.com/cookieconsent.min.css	C:/Mes%20Sites%20Web/notaire/consent.rico20.com/cookieconsent.min.css	(from https://notaireBIENVENU.be/)
19:05:14	415/415	---M-Z	200	added ('OK')	application/json	date:Thu,%2018%20Jun%202026%2019:05:18%20GMT	https://notaireBIENVENU.be/manifest.json	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/manifest.json	(from https://notaireBIENVENU.be/)
19:05:14	194/194	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2018%20Jun%202026%2019:05:18%20GMT	https://notaireBIENVENU.be/sw.js	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/sw.js	(from https://notaireBIENVENU.be/)
19:05:15	3058/3058	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Oct%202022%2017:04:13%20GMT	https://notaireBIENVENU.be/img/icons/phone.png	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/img/icons/phone.png	(from https://notaireBIENVENU.be/)
19:05:15	3041/3041	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Oct%202022%2017:04:25%20GMT	https://notaireBIENVENU.be/img/icons/email.png	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/img/icons/email.png	(from https://notaireBIENVENU.be/)
19:05:15	3822/3822	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Oct%202022%2017:04:19%20GMT	https://notaireBIENVENU.be/img/icons/map-marker.png	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/img/icons/map-marker.png	(from https://notaireBIENVENU.be/)
19:05:16	15088/15088	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2019:05:19%20GMT	https://notaireBIENVENU.be/biens-immobiliers	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/biens-immobiliers.html	(from https://notaireBIENVENU.be/)
19:05:16	19995/19995	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2019:05:20%20GMT	https://notaireBIENVENU.be/equipe	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/equipe.html	(from https://notaireBIENVENU.be/)
19:05:17	12567/12567	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2019:05:21%20GMT	https://notaireBIENVENU.be/services	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/services.html	(from https://notaireBIENVENU.be/)
19:05:18	11827/11827	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jun%202026%2019:05:21%20GMT	https://notaireBIENVENU.be/contact	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/contact.html	(from https://notaireBIENVENU.be/)
19:05:19	404601/404601	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Sep%202023%2015:39:28%20GMT	https://media.cdn-mdnn.net/OXQvbVo5RXVSVWl2dDh3ZS9Idm9NQT09/images/home-2-min-prog.jpg	C:/Mes%20Sites%20Web/notaire/media.cdn-mdnn.net/OXQvbVo5RXVSVWl2dDh3ZS9Idm9NQT09/images/home-2-min-prog.jpg	(from https://notaireBIENVENU.be/)
19:05:20	2914/2914	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Oct%202022%2017:04:10%20GMT	https://notaireBIENVENU.be/img/icons/real-estate.png	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/img/icons/real-estate.png	(from https://notaireBIENVENU.be/)
19:05:21	873318/873318	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Jun%202026%2007:48:01%20GMT	https://media.cdn-mdnn.net/OXQvbVo5RXVSVWl2dDh3ZS9Idm9NQT09/images/PAGE-D-ACCEUILww(1).jpg	C:/Mes%20Sites%20Web/notaire/media.cdn-mdnn.net/OXQvbVo5RXVSVWl2dDh3ZS9Idm9NQT09/images/PAGE-D-ACCEUILww(1).jpg	(from https://notaireBIENVENU.be/)
19:05:21	3959/3959	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Oct%202022%2017:04:39%20GMT	https://notaireBIENVENU.be/img/icons/team.png	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/img/icons/team.png	(from https://notaireBIENVENU.be/)
19:05:21	3723/3723	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Oct%202022%2017:04:33%20GMT	https://notaireBIENVENU.be/img/icons/business-services.png	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/img/icons/business-services.png	(from https://notaireBIENVENU.be/)
19:05:21	4391/4391	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Oct%202022%2017:04:31%20GMT	https://notaireBIENVENU.be/img/icons/calculator-2.png	C:/Mes%20Sites%20Web/notaire/notaireBIENVENU.be/img/icons/calculator-2.png	(from https://notaireBIENVENU.be/)
